country,year,month,level,maker,model,category,seats,region,units,units_ytd,yoy_pct,is_subtotal,source,source_url,source_name,source_site
TH,2026,6,powertrain,,,ICE,,ALL,8114,54506,-33.72,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,6,powertrain,,,BEV,,ALL,22275,104418,140.47,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,6,powertrain,,,PHEV,,ALL,1469,6023,163.73,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,6,powertrain,,,REEV,,ALL,58,,,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,6,powertrain,,,HEV,,ALL,10504,74640,3.08,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,6,segment,,,PICKUP_1T,,ALL,10805,70141,-3.17,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,6,segment,,,PPV,,ALL,2983,20893,-26.02,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,6,total,,,TOTAL,,ALL,58724,,17.26,0,fti,https://autolifethailand.tv/fti-sale-report-in-june-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,5,powertrain,,,ICE,,ALL,8435,46321,-38.74,0,fti,https://autolifethailand.tv/sale-report-may-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,5,powertrain,,,BEV,,ALL,18034,82143,61.19,0,fti,https://autolifethailand.tv/sale-report-may-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,5,powertrain,,,REEV,,ALL,73,781,100.0,0,fti,https://autolifethailand.tv/sale-report-may-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,5,segment,,,PICKUP_1T,,ALL,11171,59265,0.21,0,fti,https://autolifethailand.tv/sale-report-may-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,5,segment,,,PPV,,ALL,3164,,2.1,0,fti,https://autolifethailand.tv/sale-report-may-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,5,total,,,TOTAL,,ALL,57765,,10.6,0,fti,https://autolifethailand.tv/sale-report-may-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,4,powertrain,,,ICE,,ALL,7109,37957,-35.18,0,fti,https://autolifethailand.tv/sale-report-april-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,4,powertrain,,,BEV,,ALL,13882,64109,27.35,0,fti,https://autolifethailand.tv/sale-report-april-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,4,powertrain,,,PHEV,,ALL,1023,2891,-5.54,0,fti,https://autolifethailand.tv/sale-report-april-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
TH,2026,4,powertrain,,,REEV,,ALL,436,708,100.0,0,fti,https://autolifethailand.tv/sale-report-april-2026/,FTI (Federation of Thai Industries) via AutoLife Thailand,autolifethailand.tv
