year,month,level,category,units,yoy_pct
2026,6,powertrain,BEV,22275,140.47
2026,6,powertrain,HEV,10504,3.08
2026,6,powertrain,ICE,8114,-33.72
2026,6,powertrain,PHEV,1469,163.73
2026,6,powertrain,REEV,58,
2026,6,segment,PICKUP_1T,10805,-3.17
2026,6,segment,PPV,2983,-26.02
2026,6,total,TOTAL,58724,17.26
2026,5,powertrain,BEV,18034,61.19
2026,5,powertrain,ICE,8435,-38.74
2026,5,powertrain,REEV,73,100.0
2026,5,segment,PICKUP_1T,11171,0.21
2026,5,segment,PPV,3164,2.1
2026,5,total,TOTAL,57765,10.6
2026,4,powertrain,BEV,13882,27.35
2026,4,powertrain,HEV,11204,41.75
2026,4,powertrain,ICE,7109,-35.18
2026,4,powertrain,PHEV,1023,-5.54
2026,4,powertrain,REEV,436,100.0
2026,4,segment,PICKUP_1T,9831,-10.11
2026,4,segment,PPV,2619,-16.57
2026,4,total,TOTAL,48394,2.54
2026,3,powertrain,ICE,,
2026,3,powertrain,REEV,,
2026,3,total,TOTAL,59865,7.29
2026,1,maker,,10,
2026,1,maker,,40,
2026,1,maker,,40,
2026,1,maker,,120,
2026,1,maker,,320,
2026,1,maker,,330,
2026,1,maker,,530,
2026,1,maker,,560,
2026,1,maker,,640,
2026,1,maker,,640,
2026,1,maker,,750,
2026,1,maker,,108,
2026,1,maker,,151,
2026,1,maker,,182,
2026,1,maker,,208,
2026,1,maker,,239,
2026,1,maker,,361,
2026,1,maker,,403,
2026,1,maker,,413,
2026,1,maker,,419,
2026,1,maker,,468,
2026,1,maker,,475,
2026,1,maker,,747,
2026,1,maker,,892,
2026,1,maker,,909,
2026,1,maker,,1041,
2026,1,maker,,1832,
2026,1,maker,,1935,
2026,1,maker,,3879,
2026,1,maker,,5584,
2026,1,maker,,5857,
2026,1,maker,,6897,
2026,1,maker,,8179,
2026,1,maker,,8181,
2026,1,maker,,12791,
2026,1,maker,,23546,
2026,1,model,,8968,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,90,
2026,1,model,,179,
2026,1,model,,179,
2026,1,model,,179,
2026,1,model,,179,
2026,1,model,,179,
2026,1,model,,179,
2026,1,model,,269,
2026,1,model,,269,
2026,1,model,,269,
2026,1,model,,359,
2026,1,model,,359,
2026,1,model,,359,
2026,1,model,,359,
2026,1,model,,538,
2026,1,model,,538,
2026,1,model,,538,
2026,1,model,,628,
2026,1,model,,628,
2026,1,model,,628,
2026,1,model,,717,
2026,1,model,,807,
2026,1,model,,1076,
2026,1,model,,1166,
2026,1,model,,1166,
2026,1,model,,1255,
2026,1,model,,1435,
2026,1,model,,1435,
2026,1,model,,1525,
2026,1,model,,2780,
2026,1,model,,3318,
2026,1,model,,3946,
2026,1,model,,4035,
2026,1,model,,5381,
2026,1,model,,5560,
2026,1,model,,6726,
2026,1,model,,7264,
2026,1,powertrain,BEV,31859,353.9
2026,1,powertrain,ICE,10485,-12.24
2026,1,powertrain,PHEV,899,-6.84
2026,1,powertrain,REEV,63,
2026,1,segment,PICKUP_1T,11507,-6.12
2026,1,segment,PPV,4132,30.88
2026,1,total,TOTAL,73936,53.77
2025,12,total,TOTAL,75121,39.0
2025,11,maker,,20,
2025,11,maker,,20,
2025,11,maker,,20,
2025,11,maker,,30,
2025,11,maker,,40,
2025,11,maker,,70,
2025,11,maker,,120,
2025,11,maker,,210,
2025,11,maker,,370,
2025,11,maker,,400,
2025,11,maker,,460,
2025,11,maker,,620,
2025,11,maker,,356,
2025,11,maker,,840,
2025,11,maker,,910,
2025,11,maker,,117,
2025,11,maker,,117,
2025,11,maker,,125,
2025,11,maker,,181,
2025,11,maker,,196,
2025,11,maker,,214,
2025,11,maker,,233,
2025,11,maker,,271,
2025,11,maker,,296,
2025,11,maker,,336,
2025,11,maker,,390,
2025,11,maker,,524,
2025,11,maker,,538,
2025,11,maker,,650,
2025,11,maker,,717,
2025,11,maker,,803,
2025,11,maker,,918,
2025,11,maker,,1004,
2025,11,maker,,1300,
2025,11,maker,,1721,
2025,11,maker,,2274,
2025,11,maker,,2548,
2025,11,maker,,4290,
2025,11,maker,,4969,
2025,11,maker,,15663,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,348,
2025,11,model,,696,
2025,11,model,,696,
2025,11,model,,696,
2025,11,model,,696,
2025,11,model,,696,
2025,11,model,,696,
2025,11,model,,696,
2025,11,model,,1044,
2025,11,model,,1391,
2025,11,model,,1391,
2025,11,model,,1739,
2025,11,model,,1739,
2025,11,model,,2435,
2025,11,model,,2435,
2025,11,model,,3131,
2025,11,model,,3131,
2025,11,model,,3131,
2025,11,model,,3827,
2025,11,model,,6610,
2025,11,model,,7653,
2025,11,model,,8001,
2025,10,maker,,10,
2025,10,maker,,10,
