year,month,maker,units,units_ytd
2026,6,Toyota,6494,35410
2026,6,Mitsubishi,3158,21617
2026,6,Ford,2741,21232
2026,6,THACO KIA,2675,15732
2026,6,THACO MAZDA,2361,15298
2026,6,THACO TRUCK,2173,12519
2026,6,Honda,2002,11305
2026,6,Isuzu,900,5385
2026,6,Suzuki,654,3814
2026,6,Hino,229,1667
2026,6,BUS THACO,156,1063
2026,6,PEUGEOT,122,670
2026,6,SAMCO,10,115
2026,6,DAEWOO BUS,6,31
2026,6,VINAMOTOR,5,166
2026,5,Toyota,5653,28916
2026,5,Ford,3493,18491
2026,5,Mitsubishi,3111,18459
2026,5,THACO KIA,2512,13057
2026,5,THACO MAZDA,2304,12937
2026,5,THACO TRUCK,2170,10346
2026,5,Honda,1870,9303
2026,5,Isuzu,1102,4485
2026,5,Suzuki,544,3160
2026,5,Hino,244,1438
2026,5,BUS THACO,185,907
2026,5,PEUGEOT,84,548
2026,5,SAMCO,27,105
2026,5,VINAMOTOR,8,161
2026,5,DAEWOO BUS,1,25
2026,4,Toyota,6378,23263
2026,4,Mitsubishi,3439,15348
2026,4,Ford,2866,14998
2026,4,THACO MAZDA,2532,10633
2026,4,THACO KIA,2469,10545
2026,4,THACO TRUCK,2451,8176
2026,4,Honda,1830,7433
2026,4,Isuzu,860,3383
2026,4,Suzuki,464,2616
2026,4,Hino,232,1194
2026,4,BUS THACO,146,722
2026,4,PEUGEOT,72,464
2026,4,VINAMOTOR,20,153
2026,4,SAMCO,11,78
2026,4,DAEWOO BUS,3,24
2026,3,Toyota,8143,16885
2026,3,Mitsubishi,5086,11909
2026,3,Ford,4538,12132
2026,3,THACO KIA,2849,8076
2026,3,THACO MAZDA,2796,8101
2026,3,THACO TRUCK,2761,5725
2026,3,Honda,1839,5603
2026,3,Isuzu,1067,2523
2026,3,Suzuki,784,2152
2026,3,Hino,423,962
2026,3,BUS THACO,146,576
2026,3,PEUGEOT,103,392
2026,3,VINAMOTOR,102,133
2026,3,SAMCO,45,67
2026,3,DAEWOO BUS,11,21
2026,2,Ford,5121,2473
2026,2,Mitsubishi,5039,1784
2026,2,Toyota,4852,3890
2026,2,THACO MAZDA,3515,1790
2026,2,THACO KIA,3487,1740
2026,2,Honda,2712,1052
2026,2,THACO TRUCK,1680,1284
2026,2,Suzuki,954,414
2026,2,Isuzu,888,568
2026,2,Hino,337,202
2026,2,BUS THACO,321,109
2026,2,PEUGEOT,191,98
2026,2,VINAMOTOR,12,19
2026,2,SAMCO,10,12
2026,2,DAEWOO BUS,2,8
2026,1,Ford,5121,5121
2026,1,Mitsubishi,5039,5039
2026,1,Toyota,4852,4852
2026,1,THACO MAZDA,3515,3515
2026,1,THACO KIA,3487,3487
2026,1,Honda,2712,2712
2026,1,THACO TRUCK,1680,1680
2026,1,Suzuki,954,954
2026,1,Isuzu,888,888
2026,1,Hino,337,337
2026,1,BUS THACO,321,321
2026,1,PEUGEOT,191,191
2026,1,VINAMOTOR,12,12
2026,1,SAMCO,10,10
